,Movie Title,Movie URL,Release Year,Rank,Ratings,Votes
221,Gangs of Wasseypur,https://www.imdb.com/title/tt1954470/,2012-01-01,222,8.2,92683
222,La Haine,https://www.imdb.com/title/tt0113247/,1995-01-01,223,8.1,165575
223,A Silent Voice: The Movie,https://www.imdb.com/title/tt5323662/,2016-01-01,224,8.2,71913
224,Hachi: A Dog's Tale,https://www.imdb.com/title/tt1028532/,2009-01-01,225,8.1,274005
225,Cool Hand Luke,https://www.imdb.com/title/tt0061512/,1967-01-01,226,8.1,173085
226,The 400 Blows,https://www.imdb.com/title/tt0053198/,1959-01-01,227,8.1,114269
227,Platoon,https://www.imdb.com/title/tt0091763/,1986-01-01,228,8.1,402712
228,Spotlight,https://www.imdb.com/title/tt1895587/,2015-01-01,229,8.1,453987
229,"Monsters, Inc.",https://www.imdb.com/title/tt0198781/,2001-01-01,230,8.1,872280
230,Rebecca,https://www.imdb.com/title/tt0032976/,1940-01-01,231,8.1,133767
231,In the Mood for Love,https://www.imdb.com/title/tt0118694/,2000-01-01,232,8.1,142719
232,Life of Brian,https://www.imdb.com/title/tt0079470/,1979-01-01,233,8.1,389147
233,The Bandit,https://www.imdb.com/title/tt0116231/,1996-01-01,234,8.2,69215
234,Hotel Rwanda,https://www.imdb.com/title/tt0395169/,2004-01-01,235,8.1,348588
235,Rush,https://www.imdb.com/title/tt1979320/,2013-01-01,236,8.1,463315
236,Demon Slayer: Mugen Train,https://www.imdb.com/title/tt11032374/,2020-01-01,237,8.3,48571
237,Rocky,https://www.imdb.com/title/tt0075148/,1976-01-01,238,8.1,553239
238,Amores perros,https://www.imdb.com/title/tt0245712/,2000-01-01,239,8.1,235624
239,Into the Wild,https://www.imdb.com/title/tt0758758/,2007-01-01,240,8.1,606598
240,Nausicaä of the Valley of the Wind,https://www.imdb.com/title/tt0087544/,1984-01-01,241,8.1,164627
241,Drishyam,https://www.imdb.com/title/tt3417422/,2013-01-01,242,8.3,39775
242,Before Sunset,https://www.imdb.com/title/tt0381681/,2004-01-01,243,8.1,254084
243,It Happened One Night,https://www.imdb.com/title/tt0025316/,1934-01-01,244,8.1,101134
244,Miracle in Cell No. 7,https://www.imdb.com/title/tt10431500/,2019-01-01,245,8.2,45800
245,Neon Genesis Evangelion: The End of Evangelion,https://www.imdb.com/title/tt0169858/,1997-01-01,246,8.1,50740
246,Andrei Rublev,https://www.imdb.com/title/tt0060107/,1966-01-01,247,8.1,52369
247,Nights of Cabiria,https://www.imdb.com/title/tt0050783/,1957-01-01,248,8.1,47686
248,Soorarai Pottru,https://www.imdb.com/title/tt10189514/,2020-01-01,249,9.1,107541
249,The Battle of Algiers,https://www.imdb.com/title/tt0058946/,1966-01-01,250,8.1,58365
